study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_10	T_NK_lineage	18	CD4 Naive / T Central Memory	6	355	0.6656774220706784	0.8535211267605634	0.6841549295774647	0.5	0.022183098591549294	0.5221830985915493	0.1619718309859154	0.1619718309859154	0.0	0.8535211267605634	0.5929577464788732	0.8535211267605634	0.0	0.5929577464788732	1.2273721815078085	0.9859154929577465	0.5701408450704225	0.059154929577464786	0.029577464788732393	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.1619718309859154
vaccination_study_10	T_NK_lineage	18	Treg	7	355	0.6919450232577719	0.6919450232577719	0.43873239436619715	0.4936338028169014	0.0	0.4936338028169014	0.0	0.0	0.0	0.21971830985915494	0.04553990610328639	0.18873239436619718	0.04788732394366197	0.18309859154929578	2.1970671828497452	0.9859154929577465	0.5408450704225352	0.0	0.0	NKG7;GNLY;GZMB;CD8A			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	18	CD8 Naive / T Central Memory	8	355	0.6884300477784092	0.6884300477784092	0.0676056338028169	0.5	0.0	0.5	0.0	0.0	0.0	0.8	0.28169014084507044	0.03380281690140845	0.03380281690140845	0.03380281690140845	0.1592881132793952	0.9859154929577465	0.6669014084507041	0.0	0.0	NKG7;GNLY;GZMB;PRF1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	18	gdT Cell	9	355	0.5000105238786807	0.5000105238786807	0.0	0.05583098591549296	0.42633802816901406	0.482169014084507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.11267605633802817	0.059154929577464786	0.9859154929577465	0.8704225352112676	MS4A1;LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	19	CD8 Cytotoxic / T Effector Memory	1	329	0.7381869461808844	0.9452887537993921	1.0	0.01094224924012158	0.051291793313069906	0.06223404255319148	0.9377659574468085	0.9377659574468085	0.0	0.9969604863221885	0.43363728470111446	0.9452887537993921	0.5835866261398176	0.9118541033434651	1.2750047795007575	0.0182370820668693	0.0182370820668693	0.13677811550151975	0.06838905775075987	MS4A1	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.9377659574468085
vaccination_study_10	T_NK_lineage	19	NK Cell	2	329	0.5542084990844226	0.9361702127659575	1.0	0.1656534954407295	0.13860182370820667	0.30425531914893617	0.6957446808510639	0.6957446808510639	0.0	0.9696048632218845	0.28001519756838905	0.9361702127659575	0.5167173252279635	0.9118541033434651	1.436311146152179	0.3373860182370821	0.1702127659574468	0.3586626139817629	0.20668693009118538	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.6957446808510639
vaccination_study_10	T_NK_lineage	19	NKT Cell	3	329	0.754983056555324	0.9179331306990881	1.0	0.1656534954407295	0.13860182370820667	0.30425531914893617	0.6957446808510639	0.6957446808510639	0.0	0.9422492401215805	0.42325227963525835	0.9179331306990881	0.14893617021276595	0.9118541033434651	1.495615229117109	0.3373860182370821	0.1702127659574468	0.3586626139817629	0.20668693009118538	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.6957446808510639
vaccination_study_10	T_NK_lineage	19	MAIT Cell	4	329	0.9795415798446675	0.9908814589665653	1.0	0.1656534954407295	0.34908814589665654	0.514741641337386	0.485258358662614	0.485258358662614	0.0	1.0	0.7051671732522796	0.9908814589665653	0.2006079027355623	0.9878419452887538	1.866291706529764	0.3373860182370821	0.1702127659574468	0.9270516717325228	0.47315096251266464	MS4A1;LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.485258358662614
vaccination_study_10	T_NK_lineage	19	CD4 T Effector Memory	5	329	0.9539896024078635	0.9696048632218845	1.0	0.1878419452887538	0.36132218844984804	0.5491641337386018	0.45083586626139815	0.45083586626139815	0.0	1.0	0.7163120567375887	0.9696048632218845	0.7507598784194529	0.9027355623100304	1.5333258937801417	0.3130699088145897	0.3130699088145897	0.9604863221884499	0.4878419452887538	FOXP3	NKG7;GNLY;GZMB;PRF1		0.0	0.0	0.0	0.0	0.0	0.45083586626139815
vaccination_study_10	T_NK_lineage	19	CD4 Naive / T Central Memory	6	329	0.9587674433289133	0.9908814589665653	0.93161094224924	0.4703951367781155	0.13860182370820667	0.6	0.33161094224924004	0.33161094224924004	0.0	0.9908814589665653	0.8996960486322189	0.9908814589665653	0.0	0.8996960486322189	1.4226103121888487	0.9756838905775076	0.452887537993921	0.3586626139817629	0.20668693009118538	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.33161094224924004
vaccination_study_10	T_NK_lineage	19	Treg	7	329	0.761644671760224	0.761644671760224	0.5721884498480243	0.45232522796352587	0.0	0.45232522796352587	0.11986322188449844	0.11986322188449844	0.0	0.3677811550151976	0.07598784194528875	0.3221884498480243	0.0668693009118541	0.3130699088145897	3.6724779772842244	0.9452887537993921	0.42325227963525835	0.0	0.0	NKG7;GNLY;GZMB;CD8A			0.0	0.0	0.0	0.0	0.0	0.11986322188449844
vaccination_study_10	T_NK_lineage	19	CD8 Naive / T Central Memory	8	329	0.8344172928374481	0.8344172928374481	0.554899176652496	0.4723100303951368	0.0	0.4723100303951368	0.08258914625735919	0.08258914625735919	0.0	0.9483282674772037	0.44579533941236066	0.2735562310030395	0.2735562310030395	0.2735562310030395	1.0311468585856678	0.9604863221884499	0.4878419452887538	0.0	0.0	NKG7;GNLY;GZMB;PRF1			0.0	0.0	0.0	0.0	0.0	0.08258914625735919
