study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	Myeloid_lineage	29	Classical Monocyte	1	46	0.7371549777874882	0.9130434782608695	0.9782608695652174	0.0	3.1762854125700968
infection_study_01	Myeloid_lineage	29	Intermediate Monocyte	2	46	0.8461146311266478	0.3695652173913043	0.13043478260869565	0.0	1.5678537615614303
infection_study_01	Myeloid_lineage	29	Non-Classical Monocyte	3	46	0.7468638482266404	0.1956521739130435	0.1956521739130435	0.0	1.2555595004005535
infection_study_01	Myeloid_lineage	29	Plasmacytoid DC	4	46	0.7897276236253732	0.0	0.0	0.0	0.7897276236253732
infection_study_01	Myeloid_lineage	29	Conventional DC 2	5	46	0.46169252057388394	0.021739130434782608	0.021739130434782608	0.0	0.5182142597043187
infection_study_01	Myeloid_lineage	29	Conventional DC 1	6	46	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	3	Classical Monocyte	1	1338	0.8145983540892869	0.9917787742899851	1.0	0.0	3.4014443929532634
infection_study_01	Myeloid_lineage	3	Intermediate Monocyte	2	1338	0.8907581385186804	0.2623318385650224	0.13602391629297458	0.0	1.4465129965156907
infection_study_01	Myeloid_lineage	3	Non-Classical Monocyte	3	1338	0.8554548102833006	0.07847533632286996	0.07174887892376682	0.0	1.0527642273236593
infection_study_01	Myeloid_lineage	3	Plasmacytoid DC	4	1338	0.6871131017405869	0.004484304932735426	0.004484304932735426	0.0	0.698772294565699
infection_study_01	Myeloid_lineage	3	Conventional DC 2	5	1338	0.46169252057388394	0.04708520179372197	0.04708520179372197	0.0	0.584114045237561
infection_study_01	Myeloid_lineage	3	Conventional DC 1	6	1338	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	30	Conventional DC 1	1	34	0.9995266186002476	1.0	1.0	0.0	3.5995266186002475
infection_study_01	Myeloid_lineage	30	Conventional DC 2	2	34	0.46169252057388394	1.0	0.0	0.0	2.061692520573884
infection_study_01	Myeloid_lineage	30	Intermediate Monocyte	3	34	0.6585190444978516	0.029411764705882353	0.0	0.0	0.7055778680272633
infection_study_01	Myeloid_lineage	30	Plasmacytoid DC	4	34	0.6857020610297866	0.0	0.0	0.0	0.6857020610297866
infection_study_01	Myeloid_lineage	30	Classical Monocyte	5	34	0.5788635205010559	0.0	0.0	0.0	0.5788635205010559
infection_study_01	Myeloid_lineage	30	Non-Classical Monocyte	6	34	0.3782772558444396	0.029411764705882353	0.0	0.0	0.4253360793738514
infection_study_01	Myeloid_lineage	31	Classical Monocyte	1	14	0.7021793751365524	1.0	0.7857142857142857	0.0	3.0878936608508383
infection_study_01	Myeloid_lineage	31	Non-Classical Monocyte	2	14	0.6872041366251548	0.0	0.0	0.0	0.6872041366251548
infection_study_01	Myeloid_lineage	31	Intermediate Monocyte	3	14	0.5023805622314471	0.0	0.0	0.0	0.5023805622314471
infection_study_01	Myeloid_lineage	31	Conventional DC 1	4	14	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	31	Conventional DC 2	5	14	0.46169252057388394	0.0	0.0	0.0	0.46169252057388394
infection_study_01	Myeloid_lineage	31	Plasmacytoid DC	6	14	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	4	Classical Monocyte	1	1317	0.7898368654868546	0.9984813971146546	0.996962794229309	0.0	3.384369895099611
infection_study_01	Myeloid_lineage	4	Intermediate Monocyte	2	1317	0.8541621149224383	0.3219438116932422	0.015945330296127564	0.0	1.3852175439277534
infection_study_01	Myeloid_lineage	4	Non-Classical Monocyte	3	1317	0.7560629233122133	0.009111617312072893	0.007593014426727411	0.0	0.7782345254382573
infection_study_01	Myeloid_lineage	4	Conventional DC 2	4	1317	0.46169252057388394	0.0425208807896735	0.0425208807896735	0.0	0.5722468106270351
infection_study_01	Myeloid_lineage	4	Conventional DC 1	5	1317	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	4	Plasmacytoid DC	6	1317	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	5	Classical Monocyte	1	1195	0.8503750637244192	0.9974895397489539	1.0	0.0	3.446358327322746
infection_study_01	Myeloid_lineage	5	Intermediate Monocyte	2	1195	0.7516022139683927	0.10209205020920502	0.008368200836820083	0.0	0.9233176951399408
infection_study_01	Myeloid_lineage	5	Non-Classical Monocyte	3	1195	0.7232448474255334	0.0100418410041841	0.0066945606694560665	0.0	0.746006353701684
infection_study_01	Myeloid_lineage	5	Conventional DC 2	4	1195	0.46169252057388394	0.0033472803347280333	0.0033472803347280333	0.0	0.4703954494441768
infection_study_01	Myeloid_lineage	5	Conventional DC 1	5	1195	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	5	Plasmacytoid DC	6	1195	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	6	Classical Monocyte	1	1189	0.7767642560629233	0.992430613961312	1.0	0.0	3.3646532384010226
infection_study_01	Myeloid_lineage	6	Intermediate Monocyte	2	1189	0.8705848080984633	0.37510513036164844	0.07148864592094197	0.0	1.5422416625980429
infection_study_01	Myeloid_lineage	6	Non-Classical Monocyte	3	1189	0.7627084698856602	0.05550883095037847	0.05550883095037847	0.0	0.9070314303566442
infection_study_01	Myeloid_lineage	6	Conventional DC 2	4	1189	0.46169252057388394	0.10849453322119428	0.10849453322119428	0.0	0.743778306948989
infection_study_01	Myeloid_lineage	6	Conventional DC 1	5	1189	0.4703590415847353	0.0008410428931875525	0.0008410428931875525	0.0	0.4725457531070229
infection_study_01	Myeloid_lineage	6	Plasmacytoid DC	6	1189	0.3185037506372442	0.00336417157275021	0.00336417157275021	0.0	0.3272505967263947
infection_study_01	Myeloid_lineage	7	Classical Monocyte	1	1073	0.958997887990678	0.9990680335507922	0.9990680335507922	0.0	3.556574775222738
infection_study_01	Myeloid_lineage	7	Intermediate Monocyte	2	1073	0.7592309372951715	0.0130475302889096	0.0	0.0	0.7801069857574269
infection_study_01	Myeloid_lineage	7	Plasmacytoid DC	3	1073	0.7274051416502804	0.0	0.0	0.0	0.7274051416502804
infection_study_01	Myeloid_lineage	7	Non-Classical Monocyte	4	1073	0.7026982739785886	0.0	0.0	0.0	0.7026982739785886
infection_study_01	Myeloid_lineage	7	Conventional DC 1	5	1073	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	7	Conventional DC 2	6	1073	0.46169252057388394	0.0009319664492078285	0.0009319664492078285	0.0	0.46411563334182426
infection_study_01	Myeloid_lineage	8	Classical Monocyte	1	1009	0.8173476076032336	0.9831516352824579	0.998017839444995	0.0	3.3884080635001608
infection_study_01	Myeloid_lineage	8	Intermediate Monocyte	2	1009	0.850138373024543	0.354806739345887	0.09613478691774034	0.0	1.5139639428957026
infection_study_01	Myeloid_lineage	8	Non-Classical Monocyte	3	1009	0.7982484888209161	0.07433102081268583	0.06838453914767097	0.0	0.9855626612688845
infection_study_01	Myeloid_lineage	8	Conventional DC 2	4	1009	0.46169252057388394	0.0753221010901883	0.0753221010901883	0.0	0.6575299834083735
infection_study_01	Myeloid_lineage	8	Conventional DC 1	5	1009	0.4703590415847353	0.0019821605550049554	0.0019821605550049554	0.0	0.4755126590277482
infection_study_01	Myeloid_lineage	8	Plasmacytoid DC	6	1009	0.3185037506372442	0.003964321110009911	0.003964321110009911	0.0	0.3288109855232699
infection_study_01	Myeloid_lineage	9	Classical Monocyte	1	1005	0.9335627412424441	1.0	1.0	0.0	3.533562741242444
infection_study_01	Myeloid_lineage	9	Intermediate Monocyte	2	1005	0.7007137134950113	0.03781094527363184	0.0	0.0	0.7612112259328223
infection_study_01	Myeloid_lineage	9	Non-Classical Monocyte	3	1005	0.6614594712693904	0.0	0.0	0.0	0.6614594712693904
infection_study_01	Myeloid_lineage	9	Conventional DC 1	4	1005	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	9	Conventional DC 2	5	1005	0.46169252057388394	0.0029850746268656717	0.0029850746268656717	0.0	0.4694537146037347
infection_study_01	Myeloid_lineage	9	Plasmacytoid DC	6	1005	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
